loop,domain,checks,status,detail
1,k1_first_run_path,11,PASS,Erststartpfad ok
2,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
3,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
5,k5_help_wiki,11,PASS,Wiki-Topic ok
6,k6_text_quality,197,PASS,de: 40 Werte sauber
7,k7_update_path,6,PASS,Update-Pfad ok
8,k8_key_discipline,60,PASS,Schluesseldisziplin ok
9,k9_dialog_invariants,1,PASS,account_data_hub.py: Invarianten ok
10,k10_regression_shield,14,PASS,Regressionsschild intakt
11,k1_first_run_path,11,PASS,Erststartpfad ok
12,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
13,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
14,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
15,k5_help_wiki,11,PASS,Wiki-Topic ok
16,k6_text_quality,200,PASS,en: 40 Werte sauber
17,k7_update_path,6,PASS,Update-Pfad ok
18,k8_key_discipline,66,PASS,Schluesseldisziplin ok
19,k9_dialog_invariants,3,PASS,account_management_dialog.py: Invarianten ok
20,k10_regression_shield,14,PASS,Regressionsschild intakt
21,k1_first_run_path,11,PASS,Erststartpfad ok
22,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
23,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
24,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
25,k5_help_wiki,11,PASS,Wiki-Topic ok
26,k6_text_quality,194,PASS,fr: 40 Werte sauber
27,k7_update_path,6,PASS,Update-Pfad ok
28,k8_key_discipline,68,PASS,Schluesseldisziplin ok
29,k9_dialog_invariants,3,PASS,backup_restore_dialog.py: Invarianten ok
30,k10_regression_shield,14,PASS,Regressionsschild intakt
31,k1_first_run_path,11,PASS,Erststartpfad ok
32,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
33,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
34,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
35,k5_help_wiki,11,PASS,Wiki-Topic ok
36,k6_text_quality,194,PASS,de: 40 Werte sauber
37,k7_update_path,6,PASS,Update-Pfad ok
38,k8_key_discipline,62,PASS,Schluesseldisziplin ok
39,k9_dialog_invariants,5,PASS,budget_adjustment_dialog.py: Invarianten ok
40,k10_regression_shield,14,PASS,Regressionsschild intakt
41,k1_first_run_path,11,PASS,Erststartpfad ok
42,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
43,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
44,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
45,k5_help_wiki,11,PASS,Wiki-Topic ok
46,k6_text_quality,179,PASS,en: 40 Werte sauber
47,k7_update_path,6,PASS,Update-Pfad ok
48,k8_key_discipline,70,PASS,Schluesseldisziplin ok
49,k9_dialog_invariants,5,PASS,budget_entry_dialog_extended.py: Invarianten ok
50,k10_regression_shield,14,PASS,Regressionsschild intakt
51,k1_first_run_path,11,PASS,Erststartpfad ok
52,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
53,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
54,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
55,k5_help_wiki,11,PASS,Wiki-Topic ok
56,k6_text_quality,194,PASS,fr: 40 Werte sauber
57,k7_update_path,6,PASS,Update-Pfad ok
58,k8_key_discipline,60,PASS,Schluesseldisziplin ok
59,k9_dialog_invariants,3,PASS,budget_fill_dialog.py: Invarianten ok
60,k10_regression_shield,14,PASS,Regressionsschild intakt
61,k1_first_run_path,11,PASS,Erststartpfad ok
62,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
63,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
64,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
65,k5_help_wiki,11,PASS,Wiki-Topic ok
66,k6_text_quality,197,PASS,de: 40 Werte sauber
67,k7_update_path,6,PASS,Update-Pfad ok
68,k8_key_discipline,60,PASS,Schluesseldisziplin ok
69,k9_dialog_invariants,3,PASS,category_delete_dialog.py: Invarianten ok
70,k10_regression_shield,14,PASS,Regressionsschild intakt
71,k1_first_run_path,11,PASS,Erststartpfad ok
72,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
73,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
74,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
75,k5_help_wiki,11,PASS,Wiki-Topic ok
76,k6_text_quality,191,PASS,en: 40 Werte sauber
77,k7_update_path,6,PASS,Update-Pfad ok
78,k8_key_discipline,60,PASS,Schluesseldisziplin ok
79,k9_dialog_invariants,1,PASS,category_excel_io.py: Invarianten ok
80,k10_regression_shield,14,PASS,Regressionsschild intakt
81,k1_first_run_path,11,PASS,Erststartpfad ok
82,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
83,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
84,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
85,k5_help_wiki,11,PASS,Wiki-Topic ok
86,k6_text_quality,200,PASS,fr: 40 Werte sauber
87,k7_update_path,6,PASS,Update-Pfad ok
88,k8_key_discipline,65,PASS,Schluesseldisziplin ok
89,k9_dialog_invariants,3,PASS,category_manager_dialog.py: Invarianten ok
90,k10_regression_shield,14,PASS,Regressionsschild intakt
91,k1_first_run_path,11,PASS,Erststartpfad ok
92,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
93,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
94,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
95,k5_help_wiki,11,PASS,Wiki-Topic ok
96,k6_text_quality,200,PASS,de: 40 Werte sauber
97,k7_update_path,6,PASS,Update-Pfad ok
98,k8_key_discipline,60,PASS,Schluesseldisziplin ok
99,k9_dialog_invariants,1,PASS,category_picker.py: Invarianten ok
100,k10_regression_shield,14,PASS,Regressionsschild intakt
101,k1_first_run_path,11,PASS,Erststartpfad ok
102,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
103,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
104,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
105,k5_help_wiki,11,PASS,Wiki-Topic ok
106,k6_text_quality,197,PASS,en: 40 Werte sauber
107,k7_update_path,6,PASS,Update-Pfad ok
108,k8_key_discipline,62,PASS,Schluesseldisziplin ok
109,k9_dialog_invariants,7,PASS,category_properties_dialog.py: Invarianten ok
110,k10_regression_shield,14,PASS,Regressionsschild intakt
111,k1_first_run_path,11,PASS,Erststartpfad ok
112,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
113,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
114,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
115,k5_help_wiki,11,PASS,Wiki-Topic ok
116,k6_text_quality,200,PASS,fr: 40 Werte sauber
117,k7_update_path,6,PASS,Update-Pfad ok
118,k8_key_discipline,60,PASS,Schluesseldisziplin ok
119,k9_dialog_invariants,3,PASS,copy_year_dialog.py: Invarianten ok
120,k10_regression_shield,14,PASS,Regressionsschild intakt
121,k1_first_run_path,11,PASS,Erststartpfad ok
122,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
123,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
124,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
125,k5_help_wiki,11,PASS,Wiki-Topic ok
126,k6_text_quality,200,PASS,de: 40 Werte sauber
127,k7_update_path,6,PASS,Update-Pfad ok
128,k8_key_discipline,62,PASS,Schluesseldisziplin ok
129,k9_dialog_invariants,3,PASS,database_management_dialog.py: Invarianten ok
130,k10_regression_shield,14,PASS,Regressionsschild intakt
131,k1_first_run_path,11,PASS,Erststartpfad ok
132,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
133,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
134,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
135,k5_help_wiki,11,PASS,Wiki-Topic ok
136,k6_text_quality,200,PASS,en: 40 Werte sauber
137,k7_update_path,6,PASS,Update-Pfad ok
138,k8_key_discipline,60,PASS,Schluesseldisziplin ok
139,k9_dialog_invariants,3,PASS,export_dialog.py: Invarianten ok
140,k10_regression_shield,14,PASS,Regressionsschild intakt
141,k1_first_run_path,11,PASS,Erststartpfad ok
142,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
143,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
144,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
145,k5_help_wiki,11,PASS,Wiki-Topic ok
146,k6_text_quality,200,PASS,fr: 40 Werte sauber
147,k7_update_path,6,PASS,Update-Pfad ok
148,k8_key_discipline,61,PASS,Schluesseldisziplin ok
149,k9_dialog_invariants,3,PASS,favorites_dashboard_dialog.py: Invarianten ok
150,k10_regression_shield,14,PASS,Regressionsschild intakt
151,k1_first_run_path,11,PASS,Erststartpfad ok
152,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
153,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
154,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
155,k5_help_wiki,11,PASS,Wiki-Topic ok
156,k6_text_quality,200,PASS,de: 40 Werte sauber
157,k7_update_path,6,PASS,Update-Pfad ok
158,k8_key_discipline,61,PASS,Schluesseldisziplin ok
159,k9_dialog_invariants,3,PASS,global_search_dialog.py: Invarianten ok
160,k10_regression_shield,14,PASS,Regressionsschild intakt
161,k1_first_run_path,11,PASS,Erststartpfad ok
162,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
163,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
164,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
165,k5_help_wiki,11,PASS,Wiki-Topic ok
166,k6_text_quality,194,PASS,en: 40 Werte sauber
167,k7_update_path,6,PASS,Update-Pfad ok
168,k8_key_discipline,60,PASS,Schluesseldisziplin ok
169,k9_dialog_invariants,1,PASS,help_content.py: Invarianten ok
170,k10_regression_shield,14,PASS,Regressionsschild intakt
171,k1_first_run_path,11,PASS,Erststartpfad ok
172,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
173,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
174,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
175,k5_help_wiki,11,PASS,Wiki-Topic ok
176,k6_text_quality,200,PASS,fr: 40 Werte sauber
177,k7_update_path,6,PASS,Update-Pfad ok
178,k8_key_discipline,60,PASS,Schluesseldisziplin ok
179,k9_dialog_invariants,3,PASS,help_dialog.py: Invarianten ok
180,k10_regression_shield,14,PASS,Regressionsschild intakt
181,k1_first_run_path,11,PASS,Erststartpfad ok
182,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
183,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
184,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
185,k5_help_wiki,11,PASS,Wiki-Topic ok
186,k6_text_quality,200,PASS,de: 40 Werte sauber
187,k7_update_path,6,PASS,Update-Pfad ok
188,k8_key_discipline,60,PASS,Schluesseldisziplin ok
189,k9_dialog_invariants,3,PASS,language_select_dialog.py: Invarianten ok
190,k10_regression_shield,14,PASS,Regressionsschild intakt
191,k1_first_run_path,11,PASS,Erststartpfad ok
192,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
193,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
194,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
195,k5_help_wiki,11,PASS,Wiki-Topic ok
196,k6_text_quality,194,PASS,en: 40 Werte sauber
197,k7_update_path,6,PASS,Update-Pfad ok
198,k8_key_discipline,60,PASS,Schluesseldisziplin ok
199,k9_dialog_invariants,7,PASS,login_dialog.py: Invarianten ok
200,k10_regression_shield,14,PASS,Regressionsschild intakt
201,k1_first_run_path,11,PASS,Erststartpfad ok
202,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
203,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
204,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
205,k5_help_wiki,11,PASS,Wiki-Topic ok
206,k6_text_quality,200,PASS,fr: 40 Werte sauber
207,k7_update_path,6,PASS,Update-Pfad ok
208,k8_key_discipline,62,PASS,Schluesseldisziplin ok
209,k9_dialog_invariants,5,PASS,main_window.py: Invarianten ok
210,k10_regression_shield,14,PASS,Regressionsschild intakt
211,k1_first_run_path,11,PASS,Erststartpfad ok
212,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
213,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
214,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
215,k5_help_wiki,11,PASS,Wiki-Topic ok
216,k6_text_quality,200,PASS,de: 40 Werte sauber
217,k7_update_path,6,PASS,Update-Pfad ok
218,k8_key_discipline,68,PASS,Schluesseldisziplin ok
219,k9_dialog_invariants,3,PASS,month_close_dialog.py: Invarianten ok
220,k10_regression_shield,14,PASS,Regressionsschild intakt
221,k1_first_run_path,11,PASS,Erststartpfad ok
222,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
223,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
224,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
225,k5_help_wiki,11,PASS,Wiki-Topic ok
226,k6_text_quality,200,PASS,en: 40 Werte sauber
227,k7_update_path,6,PASS,Update-Pfad ok
228,k8_key_discipline,62,PASS,Schluesseldisziplin ok
229,k9_dialog_invariants,3,PASS,quick_add_dialog.py: Invarianten ok
230,k10_regression_shield,14,PASS,Regressionsschild intakt
231,k1_first_run_path,11,PASS,Erststartpfad ok
232,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
233,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
234,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
235,k5_help_wiki,11,PASS,Wiki-Topic ok
236,k6_text_quality,200,PASS,fr: 40 Werte sauber
237,k7_update_path,6,PASS,Update-Pfad ok
238,k8_key_discipline,61,PASS,Schluesseldisziplin ok
239,k9_dialog_invariants,1,PASS,reauth.py: Invarianten ok
240,k10_regression_shield,14,PASS,Regressionsschild intakt
241,k1_first_run_path,11,PASS,Erststartpfad ok
242,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
243,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
244,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
245,k5_help_wiki,11,PASS,Wiki-Topic ok
246,k6_text_quality,200,PASS,de: 40 Werte sauber
247,k7_update_path,6,PASS,Update-Pfad ok
248,k8_key_discipline,60,PASS,Schluesseldisziplin ok
249,k9_dialog_invariants,3,PASS,recurring_bookings_dialog.py: Invarianten ok
250,k10_regression_shield,14,PASS,Regressionsschild intakt
251,k1_first_run_path,11,PASS,Erststartpfad ok
252,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
253,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
254,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
255,k5_help_wiki,11,PASS,Wiki-Topic ok
256,k6_text_quality,200,PASS,en: 40 Werte sauber
257,k7_update_path,6,PASS,Update-Pfad ok
258,k8_key_discipline,60,PASS,Schluesseldisziplin ok
259,k9_dialog_invariants,3,PASS,restore_key_dialog.py: Invarianten ok
260,k10_regression_shield,14,PASS,Regressionsschild intakt
261,k1_first_run_path,11,PASS,Erststartpfad ok
262,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
263,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
264,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
265,k5_help_wiki,11,PASS,Wiki-Topic ok
266,k6_text_quality,194,PASS,fr: 40 Werte sauber
267,k7_update_path,6,PASS,Update-Pfad ok
268,k8_key_discipline,60,PASS,Schluesseldisziplin ok
269,k9_dialog_invariants,1,PASS,savings_goal_messages.py: Invarianten ok
270,k10_regression_shield,14,PASS,Regressionsschild intakt
271,k1_first_run_path,11,PASS,Erststartpfad ok
272,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
273,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
274,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
275,k5_help_wiki,11,PASS,Wiki-Topic ok
276,k6_text_quality,197,PASS,de: 40 Werte sauber
277,k7_update_path,6,PASS,Update-Pfad ok
278,k8_key_discipline,60,PASS,Schluesseldisziplin ok
279,k9_dialog_invariants,7,PASS,savings_goals_dialog.py: Invarianten ok
280,k10_regression_shield,14,PASS,Regressionsschild intakt
281,k1_first_run_path,11,PASS,Erststartpfad ok
282,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
283,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
284,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
285,k5_help_wiki,11,PASS,Wiki-Topic ok
286,k6_text_quality,188,PASS,en: 40 Werte sauber
287,k7_update_path,6,PASS,Update-Pfad ok
288,k8_key_discipline,71,PASS,Schluesseldisziplin ok
289,k9_dialog_invariants,3,PASS,setup_assistant_dialog.py: Invarianten ok
290,k10_regression_shield,14,PASS,Regressionsschild intakt
291,k1_first_run_path,11,PASS,Erststartpfad ok
292,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
293,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
294,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
295,k5_help_wiki,11,PASS,Wiki-Topic ok
296,k6_text_quality,191,PASS,fr: 40 Werte sauber
297,k7_update_path,6,PASS,Update-Pfad ok
298,k8_key_discipline,70,PASS,Schluesseldisziplin ok
299,k9_dialog_invariants,3,PASS,shortcuts_dialog.py: Invarianten ok
300,k10_regression_shield,14,PASS,Regressionsschild intakt
301,k1_first_run_path,11,PASS,Erststartpfad ok
302,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
303,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
304,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
305,k5_help_wiki,11,PASS,Wiki-Topic ok
306,k6_text_quality,197,PASS,de: 40 Werte sauber
307,k7_update_path,6,PASS,Update-Pfad ok
308,k8_key_discipline,60,PASS,Schluesseldisziplin ok
309,k9_dialog_invariants,3,PASS,special_income_dialog.py: Invarianten ok
310,k10_regression_shield,14,PASS,Regressionsschild intakt
311,k1_first_run_path,11,PASS,Erststartpfad ok
312,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
313,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
314,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
315,k5_help_wiki,11,PASS,Wiki-Topic ok
316,k6_text_quality,191,PASS,en: 40 Werte sauber
317,k7_update_path,6,PASS,Update-Pfad ok
318,k8_key_discipline,60,PASS,Schluesseldisziplin ok
319,k9_dialog_invariants,3,PASS,startup_wizard.py: Invarianten ok
320,k10_regression_shield,14,PASS,Regressionsschild intakt
321,k1_first_run_path,11,PASS,Erststartpfad ok
322,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
323,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
324,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
325,k5_help_wiki,11,PASS,Wiki-Topic ok
326,k6_text_quality,200,PASS,fr: 40 Werte sauber
327,k7_update_path,6,PASS,Update-Pfad ok
328,k8_key_discipline,61,PASS,Schluesseldisziplin ok
329,k9_dialog_invariants,3,PASS,tags_manager_dialog.py: Invarianten ok
330,k10_regression_shield,14,PASS,Regressionsschild intakt
331,k1_first_run_path,11,PASS,Erststartpfad ok
332,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
333,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
334,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
335,k5_help_wiki,11,PASS,Wiki-Topic ok
336,k6_text_quality,197,PASS,de: 40 Werte sauber
337,k7_update_path,6,PASS,Update-Pfad ok
338,k8_key_discipline,78,PASS,Schluesseldisziplin ok
339,k9_dialog_invariants,3,PASS,theme_editor_dialog.py: Invarianten ok
340,k10_regression_shield,14,PASS,Regressionsschild intakt
341,k1_first_run_path,11,PASS,Erststartpfad ok
342,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
343,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
344,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
345,k5_help_wiki,11,PASS,Wiki-Topic ok
346,k6_text_quality,200,PASS,en: 40 Werte sauber
347,k7_update_path,6,PASS,Update-Pfad ok
348,k8_key_discipline,60,PASS,Schluesseldisziplin ok
349,k9_dialog_invariants,1,PASS,type_color_helper.py: Invarianten ok
350,k10_regression_shield,14,PASS,Regressionsschild intakt
351,k1_first_run_path,11,PASS,Erststartpfad ok
352,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
353,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
354,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
355,k5_help_wiki,11,PASS,Wiki-Topic ok
356,k6_text_quality,197,PASS,fr: 40 Werte sauber
357,k7_update_path,6,PASS,Update-Pfad ok
358,k8_key_discipline,60,PASS,Schluesseldisziplin ok
359,k9_dialog_invariants,1,PASS,ui_colors.py: Invarianten ok
360,k10_regression_shield,14,PASS,Regressionsschild intakt
361,k1_first_run_path,11,PASS,Erststartpfad ok
362,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
363,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
364,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
365,k5_help_wiki,11,PASS,Wiki-Topic ok
366,k6_text_quality,200,PASS,de: 40 Werte sauber
367,k7_update_path,6,PASS,Update-Pfad ok
368,k8_key_discipline,60,PASS,Schluesseldisziplin ok
369,k9_dialog_invariants,3,PASS,update_dialog.py: Invarianten ok
370,k10_regression_shield,14,PASS,Regressionsschild intakt
371,k1_first_run_path,11,PASS,Erststartpfad ok
372,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
373,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
374,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
375,k5_help_wiki,11,PASS,Wiki-Topic ok
376,k6_text_quality,197,PASS,en: 40 Werte sauber
377,k7_update_path,6,PASS,Update-Pfad ok
378,k8_key_discipline,60,PASS,Schluesseldisziplin ok
379,k9_dialog_invariants,1,PASS,account_data_hub.py: Invarianten ok
380,k10_regression_shield,14,PASS,Regressionsschild intakt
381,k1_first_run_path,11,PASS,Erststartpfad ok
382,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
383,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
384,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
385,k5_help_wiki,11,PASS,Wiki-Topic ok
386,k6_text_quality,194,PASS,fr: 40 Werte sauber
387,k7_update_path,6,PASS,Update-Pfad ok
388,k8_key_discipline,60,PASS,Schluesseldisziplin ok
389,k9_dialog_invariants,3,PASS,account_management_dialog.py: Invarianten ok
390,k10_regression_shield,14,PASS,Regressionsschild intakt
391,k1_first_run_path,11,PASS,Erststartpfad ok
392,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
393,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
394,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
395,k5_help_wiki,11,PASS,Wiki-Topic ok
396,k6_text_quality,188,PASS,de: 40 Werte sauber
397,k7_update_path,6,PASS,Update-Pfad ok
398,k8_key_discipline,60,PASS,Schluesseldisziplin ok
399,k9_dialog_invariants,3,PASS,backup_restore_dialog.py: Invarianten ok
400,k10_regression_shield,14,PASS,Regressionsschild intakt
401,k1_first_run_path,11,PASS,Erststartpfad ok
402,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
403,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
404,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
405,k5_help_wiki,11,PASS,Wiki-Topic ok
406,k6_text_quality,200,PASS,en: 40 Werte sauber
407,k7_update_path,6,PASS,Update-Pfad ok
408,k8_key_discipline,60,PASS,Schluesseldisziplin ok
409,k9_dialog_invariants,5,PASS,budget_adjustment_dialog.py: Invarianten ok
410,k10_regression_shield,14,PASS,Regressionsschild intakt
411,k1_first_run_path,11,PASS,Erststartpfad ok
412,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
413,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
414,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
415,k5_help_wiki,11,PASS,Wiki-Topic ok
416,k6_text_quality,200,PASS,fr: 40 Werte sauber
417,k7_update_path,6,PASS,Update-Pfad ok
418,k8_key_discipline,60,PASS,Schluesseldisziplin ok
419,k9_dialog_invariants,5,PASS,budget_entry_dialog_extended.py: Invarianten ok
420,k10_regression_shield,14,PASS,Regressionsschild intakt
421,k1_first_run_path,11,PASS,Erststartpfad ok
422,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
423,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
424,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
425,k5_help_wiki,11,PASS,Wiki-Topic ok
426,k6_text_quality,200,PASS,de: 40 Werte sauber
427,k7_update_path,6,PASS,Update-Pfad ok
428,k8_key_discipline,65,PASS,Schluesseldisziplin ok
429,k9_dialog_invariants,3,PASS,budget_fill_dialog.py: Invarianten ok
430,k10_regression_shield,14,PASS,Regressionsschild intakt
431,k1_first_run_path,11,PASS,Erststartpfad ok
432,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
433,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
434,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
435,k5_help_wiki,11,PASS,Wiki-Topic ok
436,k6_text_quality,197,PASS,en: 40 Werte sauber
437,k7_update_path,6,PASS,Update-Pfad ok
438,k8_key_discipline,66,PASS,Schluesseldisziplin ok
439,k9_dialog_invariants,3,PASS,category_delete_dialog.py: Invarianten ok
440,k10_regression_shield,14,PASS,Regressionsschild intakt
441,k1_first_run_path,11,PASS,Erststartpfad ok
442,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
443,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
444,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
445,k5_help_wiki,11,PASS,Wiki-Topic ok
446,k6_text_quality,200,PASS,fr: 40 Werte sauber
447,k7_update_path,6,PASS,Update-Pfad ok
448,k8_key_discipline,65,PASS,Schluesseldisziplin ok
449,k9_dialog_invariants,1,PASS,category_excel_io.py: Invarianten ok
450,k10_regression_shield,14,PASS,Regressionsschild intakt
451,k1_first_run_path,11,PASS,Erststartpfad ok
452,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
453,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
454,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
455,k5_help_wiki,11,PASS,Wiki-Topic ok
456,k6_text_quality,200,PASS,de: 40 Werte sauber
457,k7_update_path,6,PASS,Update-Pfad ok
458,k8_key_discipline,60,PASS,Schluesseldisziplin ok
