loop,domain,checks,status,detail
4901,k1_first_run_path,11,PASS,Erststartpfad ok
4902,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
4903,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4904,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
4905,k5_help_wiki,11,PASS,Wiki-Topic ok
4906,k6_text_quality,176,PASS,en: 40 Werte sauber
4907,k7_update_path,6,PASS,Update-Pfad ok
4908,k8_key_discipline,60,PASS,Schluesseldisziplin ok
4909,k9_dialog_invariants,1,PASS,category_picker.py: Invarianten ok
4910,k10_regression_shield,14,PASS,Regressionsschild intakt
4911,k1_first_run_path,11,PASS,Erststartpfad ok
4912,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
4913,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4914,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
4915,k5_help_wiki,11,PASS,Wiki-Topic ok
4916,k6_text_quality,188,PASS,fr: 40 Werte sauber
4917,k7_update_path,6,PASS,Update-Pfad ok
4918,k8_key_discipline,66,PASS,Schluesseldisziplin ok
4919,k9_dialog_invariants,7,PASS,category_properties_dialog.py: Invarianten ok
4920,k10_regression_shield,14,PASS,Regressionsschild intakt
4921,k1_first_run_path,11,PASS,Erststartpfad ok
4922,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
4923,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4924,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
4925,k5_help_wiki,11,PASS,Wiki-Topic ok
4926,k6_text_quality,191,PASS,de: 40 Werte sauber
4927,k7_update_path,6,PASS,Update-Pfad ok
4928,k8_key_discipline,68,PASS,Schluesseldisziplin ok
4929,k9_dialog_invariants,3,PASS,copy_year_dialog.py: Invarianten ok
4930,k10_regression_shield,14,PASS,Regressionsschild intakt
4931,k1_first_run_path,11,PASS,Erststartpfad ok
4932,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
4933,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4934,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
4935,k5_help_wiki,11,PASS,Wiki-Topic ok
4936,k6_text_quality,191,PASS,en: 40 Werte sauber
4937,k7_update_path,6,PASS,Update-Pfad ok
4938,k8_key_discipline,62,PASS,Schluesseldisziplin ok
4939,k9_dialog_invariants,3,PASS,database_management_dialog.py: Invarianten ok
4940,k10_regression_shield,14,PASS,Regressionsschild intakt
4941,k1_first_run_path,11,PASS,Erststartpfad ok
4942,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
4943,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4944,k4_guide_coverage,10,PASS,fr-Guide deckt Kernfunktionen
4945,k5_help_wiki,11,PASS,Wiki-Topic ok
4946,k6_text_quality,200,PASS,fr: 40 Werte sauber
4947,k7_update_path,6,PASS,Update-Pfad ok
4948,k8_key_discipline,70,PASS,Schluesseldisziplin ok
4949,k9_dialog_invariants,3,PASS,export_dialog.py: Invarianten ok
4950,k10_regression_shield,14,PASS,Regressionsschild intakt
4951,k1_first_run_path,11,PASS,Erststartpfad ok
4952,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
4953,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4954,k4_guide_coverage,10,PASS,de-Guide deckt Kernfunktionen
4955,k5_help_wiki,11,PASS,Wiki-Topic ok
4956,k6_text_quality,200,PASS,de: 40 Werte sauber
4957,k7_update_path,6,PASS,Update-Pfad ok
4958,k8_key_discipline,60,PASS,Schluesseldisziplin ok
4959,k9_dialog_invariants,3,PASS,favorites_dashboard_dialog.py: Invarianten ok
4960,k10_regression_shield,14,PASS,Regressionsschild intakt
4961,k1_first_run_path,11,PASS,Erststartpfad ok
4962,k2_booking_lifecycle,11,PASS,Lebenszyklus ok
4963,k3_bundle_roundtrip,5,PASS,Bundle-Rundlauf ok
4964,k4_guide_coverage,10,PASS,en-Guide deckt Kernfunktionen
4965,k5_help_wiki,11,PASS,Wiki-Topic ok
4966,k6_text_quality,200,PASS,en: 40 Werte sauber
