loop,domain,checks,result
393,d3_filter_hygiene,1,PASS
394,d4_focus_rules,1,PASS
395,d5_cockpit_presets,6,PASS
396,d6_placeholders,20,PASS
397,d7_refs,246,PASS
398,d8_scaling,1,PASS
399,d9_icon_buttons,1,PASS
400,d10_enter_defaults,1,PASS
401,d1_destructive,8,PASS
402,d2_a11y_i18n,1,PASS
403,d3_filter_hygiene,1,PASS
404,d4_focus_rules,1,PASS
405,d5_cockpit_presets,6,PASS
406,d6_placeholders,20,PASS
407,d7_refs,75,PASS
408,d8_scaling,1,PASS
409,d9_icon_buttons,1,PASS
410,d10_enter_defaults,1,PASS
411,d1_destructive,8,PASS
412,d2_a11y_i18n,1,PASS
413,d3_filter_hygiene,1,PASS
414,d4_focus_rules,1,PASS
415,d5_cockpit_presets,6,PASS
416,d6_placeholders,19,PASS
417,d7_refs,18,PASS
418,d8_scaling,1,PASS
419,d9_icon_buttons,1,PASS
420,d10_enter_defaults,1,PASS
421,d1_destructive,8,PASS
422,d2_a11y_i18n,1,PASS
423,d3_filter_hygiene,1,PASS
424,d4_focus_rules,1,PASS
425,d5_cockpit_presets,6,PASS
426,d6_placeholders,19,PASS
427,d7_refs,0,PASS
428,d8_scaling,1,PASS
429,d9_icon_buttons,1,PASS
430,d10_enter_defaults,1,PASS
431,d1_destructive,8,PASS
432,d2_a11y_i18n,1,PASS
433,d3_filter_hygiene,1,PASS
434,d4_focus_rules,1,PASS
435,d5_cockpit_presets,6,PASS
436,d6_placeholders,19,PASS
437,d7_refs,183,PASS
438,d8_scaling,1,PASS
439,d9_icon_buttons,1,PASS
440,d10_enter_defaults,2,PASS
441,d1_destructive,8,PASS
442,d2_a11y_i18n,1,PASS
443,d3_filter_hygiene,1,PASS
444,d4_focus_rules,1,PASS
445,d5_cockpit_presets,6,PASS
446,d6_placeholders,19,PASS
447,d7_refs,12,PASS
448,d8_scaling,1,PASS
449,d9_icon_buttons,1,PASS
450,d10_enter_defaults,1,PASS
451,d1_destructive,8,PASS
452,d2_a11y_i18n,1,PASS
453,d3_filter_hygiene,1,PASS
454,d4_focus_rules,1,PASS
455,d5_cockpit_presets,6,PASS
456,d6_placeholders,19,PASS
457,d7_refs,51,PASS
458,d8_scaling,1,PASS
459,d9_icon_buttons,1,PASS
460,d10_enter_defaults,1,PASS
461,d1_destructive,8,PASS
462,d2_a11y_i18n,1,PASS
463,d3_filter_hygiene,1,PASS
464,d4_focus_rules,1,PASS
465,d5_cockpit_presets,6,PASS
466,d6_placeholders,19,PASS
467,d7_refs,114,PASS
